verbose,min_data_in_leaf,objective,metric,num_leaves,boosting,n_estimators,tree_learner,max_bin,min_data_in_bin,max_depth,learning_rate,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,n_jobs,seed,bagging_freq,is_unbalance,early_stopping_rounds,device_type,roc_auc
-1,68,binary,auc,86,gbdt,1203,data,494,4,31,0.9561703145126076,0.5143605297840043,0.1,0.0,604.4792465496939,-1,0,0,False,1000,cpu,0.998689813298395
-1,32,binary,auc,85,gbdt,100,voting,916,16,48,1.0,0.35296594709060036,0.8692728406257201,0.0,595.1424700107261,-1,0,97,False,512,cpu,0.9950867998689813
-1,5,binary,auc,20,gbdt,616,voting,700,20,50,1.0,0.7378801854147012,1.0,0.0,562.7404221658401,-1,41,60,False,1000,cpu,0.9967245332459875
-1,5,binary,auc,20,gbdt,1331,data,847,20,50,1.0,0.1,0.3695547697425694,0.0,1000.0,-1,0,0,False,629,cpu,0.9967245332459876
-1,5,binary,auc,20,gbdt,1224,feature,1000,20,22,1.0,0.8505239642760458,0.5272282215448929,886.7363393502687,734.2866877223644,-1,0,61,False,1000,cpu,0.5
-1,5,binary,auc,38,gbdt,2000,data,1000,17,7,1.0,0.7219386619722831,1.0,869.8166054406406,495.8485772157304,-1,0,0,True,328,cpu,0.5
-1,92,binary,auc,61,gbdt,698,serial,1000,20,16,0.19099227155850562,0.1,1.0,1000.0,963.7560645489696,-1,10,12,True,1,cpu,0.5
-1,84,binary,auc,20,gbdt,100,feature,900,2,31,1.0,0.3171553294906262,0.6290977987023548,1000.0,1000.0,-1,61,0,False,203,cpu,0.5
-1,100,binary,auc,57,rf,100,serial,320,9,48,0.7498307029249067,1.0,0.1,1000.0,1000.0,-1,100,35,False,1,cpu,0.5
-1,100,binary,auc,98,rf,972,data,1000,3,50,0.6617199491116151,1.0,0.8608818317548017,1000.0,419.27850018985407,-1,96,0,False,1,cpu,0.5
-1,100,binary,auc,100,gbdt,2000,data,1000,11,33,0.0001,1.0,1.0,878.8574415894499,1000.0,-1,96,0,False,414,cpu,0.5
-1,100,binary,auc,35,gbdt,2000,voting,118,17,27,0.267409872701312,1.0,1.0,1000.0,316.7174395009695,-1,69,26,True,1,cpu,0.5
-1,100,binary,auc,20,rf,1538,voting,20,9,14,0.7279022597789127,0.5061657014490892,0.6700721842532351,896.130959382268,0.0,-1,38,37,True,799,cpu,0.5
-1,100,binary,auc,20,gbdt,524,feature,20,9,0,0.5212648387548533,0.1,0.16100003263477025,1000.0,79.72043588499567,-1,70,0,False,719,cpu,0.5
-1,100,binary,auc,20,gbdt,1896,voting,20,5,24,0.07688622284129548,0.2846783703808442,0.6013098979434863,231.78275086195254,0.0,-1,75,12,False,1000,cpu,0.5
-1,100,binary,auc,20,gbdt,2000,data,20,6,41,0.0001,0.1,1.0,484.0343437817125,0.0,-1,81,5,False,1000,cpu,0.5
-1,27,binary,auc,61,gbdt,1879,data,833,1,50,0.2506292144338014,0.7631580440936877,0.9996501704836187,661.7474726116197,0.0,-1,100,23,False,459,cpu,0.5
-1,5,binary,auc,99,gbdt,1807,data,212,18,5,0.44056660631471045,1.0,1.0,569.505758266535,295.07527100262496,-1,100,0,False,1,cpu,0.5
-1,5,binary,auc,49,gbdt,100,feature,557,20,0,0.547628369353411,0.46481947300026527,1.0,598.170016815269,0.0,-1,70,0,False,1,cpu,0.5
-1,51,binary,auc,71,gbdt,537,serial,1000,16,0,0.4372388924404308,0.1,1.0,0.0,567.6069068223125,-1,100,44,False,1,cpu,0.5
-1,5,binary,auc,59,gbdt,2000,serial,167,1,0,0.5241390515413843,0.1653193519513825,1.0,0.0,575.2437430066229,-1,100,0,False,1,cpu,0.9587291188994432
-1,5,binary,auc,76,rf,423,serial,176,13,0,0.6706711190623674,0.1,1.0,0.0,749.5709082800354,-1,100,0,False,1,cpu,0
-1,48,binary,auc,45,gbdt,2000,serial,551,1,0,0.6164652723629523,0.16152854251123255,1.0,560.4112309758682,488.7426764664212,-1,100,45,False,601,cpu,0.5
-1,57,binary,auc,58,gbdt,799,feature,20,10,0,0.5627030962559625,1.0,0.452994729567761,949.6830888258323,1000.0,-1,76,71,False,1000,cpu,0.5
-1,100,binary,auc,50,gbdt,626,serial,20,19,40,0.0001,1.0,0.12700581598454658,1000.0,347.9059728437801,-1,100,77,False,168,cpu,0.5
-1,60,binary,auc,61,gbdt,100,serial,20,19,34,0.06173872427836911,1.0,0.7267871746711008,884.1704452858683,424.0282546495306,-1,100,2,False,199,cpu,0.5
-1,100,binary,auc,20,gbdt,100,serial,882,19,4,0.0001,1.0,0.33598380837256675,1000.0,271.7707828335631,-1,6,0,False,148,cpu,0.5
-1,100,binary,auc,38,gbdt,301,serial,1000,20,5,0.0001,1.0,0.1,1000.0,0.0,-1,0,0,False,1000,cpu,0.5
-1,74,binary,auc,54,gbdt,100,serial,1000,12,0,0.0001,1.0,0.4838112100575598,193.79434665388874,0.0,-1,54,0,False,252,cpu,0.5
-1,92,binary,auc,99,gbdt,200,serial,201,13,0,0.30585481114681834,1.0,0.4100677092312311,186.7739260543202,0.0,-1,0,13,False,1,cpu,0.5
-1,62,binary,auc,70,gbdt,100,serial,20,16,0,0.0001,0.14229420999188436,0.7861886696859385,0.0,418.957745265353,-1,60,0,False,1,cpu,0.8833933835571569
-1,69,binary,auc,71,gbdt,100,serial,20,20,0,0.0001,0.7308939863261973,0.24180911881077383,811.6262766824395,0.0,-1,100,0,False,1,cpu,0.5
-1,69,binary,auc,72,rf,1131,serial,694,5,0,0.0001,1.0,0.7365612114380717,1000.0,0.0,-1,42,0,False,1,cpu,0.5
-1,100,binary,auc,79,rf,100,serial,20,1,26,0.9916110468071879,1.0,0.7895424292337582,1000.0,810.5894335558696,-1,80,0,False,208,cpu,0.5
-1,88,binary,auc,100,gbdt,1215,serial,20,1,11,1.0,1.0,0.1524191802891104,439.6102194792852,990.8024921584799,-1,16,0,False,114,cpu,0.5
-1,88,binary,auc,65,gbdt,1016,serial,490,7,0,1.0,0.16679266060658837,0.41740713651859834,1000.0,666.6321300726011,-1,0,0,False,424,cpu,0.5
-1,100,binary,auc,99,rf,397,feature,616,1,15,0.7048234367185928,0.1,0.4017071190786559,836.3014530518094,1000.0,-1,48,0,False,1,cpu,0.5
-1,100,binary,auc,100,rf,100,serial,20,5,30,0.0001,0.8160634858471522,1.0,1000.0,758.0990574431572,-1,50,0,False,1,cpu,0
-1,100,binary,auc,88,gbdt,173,serial,20,10,25,0.22025103068363522,0.2816600846082119,1.0,1000.0,396.8185590390372,-1,28,0,False,732,cpu,0.5
-1,100,binary,auc,100,gbdt,1487,serial,20,9,0,0.19341882401047344,0.1,1.0,1000.0,166.7230423141746,-1,0,0,False,606,cpu,0.5
-1,98,binary,auc,70,rf,550,serial,341,1,44,0.0001,0.5571959525984763,0.6814102109832776,607.5781366998436,279.2371657455781,-1,50,58,False,668,cpu,0.5
-1,44,binary,auc,20,rf,2000,serial,20,1,19,0.0001,0.1,0.1,611.3964294484438,578.8348557743454,-1,22,88,False,1,cpu,0.5
-1,100,binary,auc,20,gbdt,1961,serial,20,1,50,0.8079933825841261,0.1,0.18268182601866156,1000.0,1000.0,-1,0,99,False,531,cpu,0.5
-1,91,binary,auc,29,gbdt,2000,serial,899,1,50,1.0,0.34707935216761165,0.1,1000.0,648.8925842449858,-1,77,82,False,515,cpu,0.5
-1,80,binary,auc,57,rf,1148,serial,1000,1,50,0.5748832924665028,0.6227601722634666,0.1,93.31919477576673,1000.0,-1,33,99,False,369,cpu,0.5
-1,71,binary,auc,36,gbdt,1580,feature,822,1,50,0.94352457687191,0.6641046273934516,0.8692154918760839,657.694303099918,743.3588189814027,-1,25,99,False,460,cpu,0.5
-1,82,binary,auc,20,gbdt,100,serial,1000,2,50,1.0,1.0,1.0,377.1656915712564,841.9705504868396,-1,0,99,True,1,cpu,0.5
-1,100,binary,auc,20,gbdt,115,feature,187,17,43,0.4227823196625111,0.8189641705843727,0.531409753903646,0.0,684.1358317970407,-1,35,7,False,943,cpu,0.9941041598427777
-1,100,binary,auc,80,rf,733,data,20,13,45,0.6003193599115786,1.0,0.6412444935734053,432.61098006343326,581.9183224507117,-1,0,99,True,792,cpu,0.5
-1,40,binary,auc,20,gbdt,100,data,628,20,25,0.9387558899602929,1.0,0.1,505.6504256226377,1000.0,-1,5,0,False,1000,cpu,0.5
-1,46,binary,auc,20,gbdt,963,data,20,20,50,1.0,0.5561240091397688,0.9910726072608153,0.0,138.2269538208194,-1,29,83,False,1000,cpu,0.9941041598427776
-1,25,binary,auc,64,gbdt,1978,data,46,8,48,1.0,0.4030495294530644,1.0,0.0,0.0,-1,33,71,False,1000,cpu,0.9957418932197839
-1,17,binary,auc,25,gbdt,1495,voting,20,11,28,0.8914441945687214,0.2933825473951086,0.8444470277280164,0.0,0.0,-1,33,9,False,867,cpu,0.9959056665574845
-1,96,binary,auc,65,gbdt,2000,data,615,14,0,0.6009484185687064,0.1,1.0,0.0,0.0,-1,51,77,False,674,cpu,0.5
-1,65,binary,auc,90,gbdt,100,serial,258,20,9,0.008094528441025317,0.7110042003538699,1.0,0.0,0.0,-1,69,71,False,817,cpu,0.9980347199475925
-1,100,binary,auc,100,gbdt,100,data,901,14,19,0.46323146446865604,1.0,1.0,104.0333622172409,389.3846123048359,-1,100,44,False,1000,cpu,0.5
-1,5,binary,auc,93,gbdt,100,feature,486,20,0,0.2718227520942887,0.3686507630706033,0.3178341002170616,112.63156383940287,0.0,-1,75,99,False,724,cpu,0.5
-1,5,binary,auc,100,gbdt,100,serial,20,20,46,0.32507720929067113,0.7513052490526277,0.8766967026116237,664.5250375897868,55.621514374644136,-1,0,69,False,1000,cpu,0.5
-1,40,binary,auc,100,gbdt,100,serial,236,20,50,0.0001,0.4806365477559666,0.1,807.04992357484,0.0,-1,0,0,False,939,cpu,0.5
-1,75,binary,auc,81,gbdt,904,serial,20,13,13,0.24651611957143887,0.47839640943446543,0.8056627280481538,0.0,0.0,-1,0,49,False,1000,cpu,0.998689813298395
-1,100,binary,auc,49,rf,1930,serial,58,19,30,0.5732610384021783,0.3903116405529744,1.0,0.0,782.272126342135,-1,0,0,False,999,cpu,0
-1,5,binary,auc,100,gbdt,1947,serial,20,15,0,0.25254667241772577,0.20903990410793177,0.2020369539065463,685.7477491835069,461.6501009295264,-1,15,6,False,1000,cpu,0.5
-1,5,binary,auc,100,gbdt,2000,data,789,2,0,0.1572188145777117,0.1,0.1,985.5054603901916,325.5689960663295,-1,0,56,True,275,cpu,0.5
-1,5,binary,auc,35,gbdt,1056,data,346,1,37,0.06793741275449,0.1159349705879303,0.43183990194630095,1000.0,0.0,-1,0,75,True,1,cpu,0.5
-1,5,binary,auc,80,gbdt,183,feature,344,10,50,0.0001,0.1,1.0,1000.0,0.0,-1,0,99,True,1,cpu,0.5
-1,5,binary,auc,79,rf,1184,voting,20,4,32,0.0001,0.1,1.0,1000.0,13.750319775250874,-1,22,5,False,1,cpu,0.5
-1,5,binary,auc,100,rf,1591,voting,20,11,25,0.1722901138279553,0.35970252089660004,0.5694294494405792,1000.0,0.0,-1,89,31,True,1,cpu,0.5
-1,5,binary,auc,31,rf,100,serial,20,1,0,0.0001,0.27036897597440895,1.0,800.1382822903682,0.0,-1,41,12,False,1,cpu,0.5
-1,5,binary,auc,33,rf,934,serial,837,1,28,0.04174761434079645,1.0,1.0,564.4371994206161,0.0,-1,60,59,False,378,cpu,0
-1,36,binary,auc,20,gbdt,168,feature,217,3,40,0.0001,1.0,0.2670092579011578,0.0,0.0,-1,43,95,False,1,cpu,0.9806747461513265
-1,79,binary,auc,44,gbdt,100,serial,1000,20,24,0.9960540250436054,1.0,1.0,723.2354626897533,812.6872910902301,-1,70,68,False,23,cpu,0.5
-1,72,binary,auc,20,rf,100,data,611,20,50,1.0,1.0,0.98243883651496,0.0,1000.0,-1,13,68,False,1,cpu,0.8809367834916476
-1,5,binary,auc,33,rf,1598,voting,676,18,46,0.9154031468207573,0.5188242315419802,1.0,680.9029921657435,1000.0,-1,89,99,False,587,cpu,0.5
-1,39,binary,auc,20,rf,2000,feature,668,20,50,0.8617857054405925,0.48866405065740154,0.2916563143951637,846.2238732669689,720.4269476213196,-1,100,99,False,1000,cpu,0.5
-1,32,binary,auc,20,rf,204,serial,20,20,50,0.9414385918889441,0.7645593051581675,0.1,846.4316202870122,523.5110715507141,-1,91,99,False,734,cpu,0.5
