,关键词数,词频字典,文件名,文件地址
21,1,{'数据分析': 1},21-2023年安徽省职业院校技能大赛（高职组）“汽车营销”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“汽车营销”赛项竞赛规程.pdf
22,2,"{'人工智能': 1, '数据分析': 11}",22-2023年安徽省职业院校技能大赛（高职组）“直播电商”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“直播电商”赛项竞赛规程.pdf
23,4,"{'电子信息大类': 2, '人工智能': 14, 'arm': 1, '算法': 1}",23-2023年安徽省职业院校技能大赛（高职组）“人工智能技术应用”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“人工智能技术应用”赛项竞赛规程.pdf
24,1,{'运维': 1},24-2023年安徽省职业院校技能大赛（高职组）“数字化产品设计与开发”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“数字化产品设计与开发”赛项竞赛规程.pdf
25,1,{'数据分析': 2},25-2023年安徽省职业院校技能大赛（高职组）”乡村振兴数字运营综合技能“赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）”乡村振兴数字运营综合技能“赛项竞赛规程.pdf
26,1,{'arm': 1},26-2023年安徽省职业院校技能大赛（高职组）“药学技能”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“药学技能”赛项竞赛规程.pdf
27,2,"{'单片机': 2, '算法': 1}",27-2023年安徽省职业院校技能大赛（高职组）”生产单元数字化改造“赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）”生产单元数字化改造“赛项竞赛规程.pdf
28,1,{'数据分析': 1},28-2023年安徽省职业院校技能大赛（高职组）“婴幼儿照护”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“婴幼儿照护”赛项竞赛规程.pdf
29,2,"{'人工智能': 1, '数据分析': 1}",29-2023年安徽省职业院校技能大赛（高职组）“智慧物流（教师赛）”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“智慧物流（教师赛）”赛项竞赛规程.pdf
30,1,{'网络安全': 1},30-2023年安徽省职业院校技能大赛（高职组）“中华茶艺”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“中华茶艺”赛项竞赛规程.pdf
31,2,"{'网络安全': 2, '运维': 7}",31-2023年安徽省职业院校技能大赛（高职组）“工业网络智能控制与维护（学生赛）”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“工业网络智能控制与维护（学生赛）”赛项竞赛规程.pdf
32,1,{'数据分析': 3},32-2023年安徽省职业院校技能大赛（高职组）”食品质量与安全检测“赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）”食品质量与安全检测“赛项竞赛规程.pdf
33,2,"{'运维': 8, '数据分析': 3}",33-2023年安徽省职业院校技能大赛（高职组）“智能节水系统设计与安装”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“智能节水系统设计与安装”赛项竞赛规程.pdf
34,3,"{'人工智能': 3, '集成电路': 1, '算法': 6}",34-2023年安徽省职业院校技能大赛（高职组）“嵌入式系统应用开发”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“嵌入式系统应用开发”赛项竞赛规程.pdf
35,5,"{'电子信息大类': 1, '人工智能': 1, 'arm': 1, 'docker': 1, '运维': 24}",35-2023年安徽省职业院校技能大赛（高职组）“云计算应用”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“云计算应用”赛项竞赛规程.pdf
36,1,{'算法': 1},36-2023年安徽省职业院校技能大赛（高职组）“企业纳税申报与风险识别”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“企业纳税申报与风险识别”赛项竞赛规程.pdf
37,3,"{'arm': 4, 'python': 1, '运维': 7}",37-2023年安徽省职业院校技能大赛（高职组）”软件测试“赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）”软件测试“赛项竞赛规程.pdf
38,1,{'网络安全': 1},38-2023年安徽省职业院校技能大赛（高职组）“机械成图技术”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“机械成图技术”赛项竞赛规程.pdf
39,2,"{'算法': 1, '数据分析': 10}",39-2023年安徽省职业院校技能大赛（高职组）“市场营销”赛项竞赛规程.pdf,./2023年安徽省职业院校技能竞赛（高职组）竞赛规程/2023年安徽省职业院校技能大赛（高职组）“市场营销”赛项竞赛规程.pdf
