objective,learning_rate,n_estimators,max_depth,min_child_weight,gamma,subsample,nthread,scale_pos_weight,lambda,eta,verbosity,eval_metric,seed,max_delta_step,sampling_method,colsample_bytree,colsample_bylevel,colsample_bynode,gpu_id,tree_method,max_leaves,num_parallel_tree,roc_auc
binary:logistic,0.9400000000000001,80,17,11.04594330400782,0.0,0.4666666666666667,5,0.5909090909090909,47.116324535679375,0.1,1,auc,22,9.37007874015748,gradient_based,0.3333333333333333,0.3333333333333333,0.9333333333333333,0,gpu_hist,0,13,0.9983622666229938
binary:logistic,0.64,51,6,88.26979472140762,0.06666666666666667,0.9333333333333333,5,0.5909090909090909,55.718475073313776,0.1,1,auc,76,4.645669291338582,uniform,0.8666666666666667,0.4,1.0,0,gpu_hist,15,5,0.5
binary:logistic,0.7,100,20,81.72043010752688,0.26666666666666666,0.06666666666666667,5,0.5909090909090909,6.158357771260997,0.001,1,auc,35,5.354330708661418,gradient_based,0.3333333333333333,0.6666666666666666,0.6,0,gpu_hist,8,6,0.5
binary:logistic,1.0,31,9,66.56891495601172,0.5333333333333333,0.5333333333333333,5,0.5909090909090909,97.26295210166178,0.1,1,auc,100,5.039370078740157,uniform,1.0,0.0,0.3333333333333333,0,gpu_hist,19,23,0.5
binary:logistic,0.7599999999999999,38,20,6.744868035190615,0.5333333333333333,0.8666666666666667,5,0.5909090909090909,51.90615835777126,0.01,1,auc,100,0.8661417322834646,uniform,0.5333333333333333,0.8,0.9333333333333333,0,gpu_hist,18,25,0.9967245332459876
binary:logistic,0.33999999999999997,100,4,81.32942326490713,1.0,0.4,5,0.5909090909090909,29.814271749755623,0.001,1,auc,100,3.3070866141732287,uniform,0.06666666666666667,0.6,0.6,0,gpu_hist,13,24,0.5
binary:logistic,0.8200000000000001,17,14,23.75366568914956,0.9333333333333333,0.8,5,0.5909090909090909,87.87878787878788,0.0001,1,auc,82,8.11023622047244,gradient_based,0.13333333333333333,0.4666666666666667,0.4666666666666667,0,gpu_hist,8,10,0.9977071732721913
binary:logistic,0.4,47,20,19.159335288367547,0.4666666666666667,0.7333333333333333,5,0.5909090909090909,64.613880742913,0.0001,1,auc,25,7.795275590551181,uniform,0.6666666666666666,0.8,0.2,0,gpu_hist,29,27,0.9980347199475925
binary:logistic,0.64,45,20,75.65982404692082,0.06666666666666667,1.0,5,0.5909090909090909,46.138807429130004,0.1,1,auc,100,8.89763779527559,gradient_based,0.8666666666666667,0.6,0.6,0,gpu_hist,30,12,0.5
binary:logistic,0.1,50,20,65.49364613880742,0.7333333333333333,1.0,5,0.5909090909090909,80.84066471163244,0.1,1,auc,100,2.3622047244094486,uniform,0.13333333333333333,0.4666666666666667,0.3333333333333333,0,gpu_hist,18,21,0.5
binary:logistic,0.22,67,9,26.97947214076246,0.9333333333333333,0.13333333333333333,5,0.5909090909090909,19.745845552297165,0.01,1,auc,48,5.905511811023621,gradient_based,0.6666666666666666,0.7333333333333333,0.6,0,gpu_hist,20,4,0.99737962659679
binary:logistic,0.1,37,20,29.32551319648094,1.0,0.7333333333333333,5,0.5909090909090909,42.32649071358749,0.0001,1,auc,40,0.5511811023622047,gradient_based,0.4666666666666667,0.0,0.6666666666666666,0,gpu_hist,22,12,0.9970520799213888
binary:logistic,0.1,9,9,12.316715542521994,0.8666666666666667,0.9333333333333333,5,0.5909090909090909,3.6168132942326494,0.001,1,auc,10,1.4173228346456692,gradient_based,0.6,0.3333333333333333,0.6,0,gpu_hist,17,23,0.9980347199475926
binary:logistic,0.4600000000000001,100,20,42.52199413489736,0.26666666666666666,0.26666666666666666,5,0.5909090909090909,11.04594330400782,0.0001,1,auc,25,1.1811023622047243,uniform,0.4,0.3333333333333333,0.06666666666666667,0,gpu_hist,11,26,0.5
binary:logistic,0.16,56,20,47.31182795698925,0.6666666666666666,0.26666666666666666,5,0.5909090909090909,66.08015640273705,0.1,1,auc,73,2.5196850393700787,uniform,0.2,0.4,0.3333333333333333,0,gpu_hist,30,30,0.5
binary:logistic,0.9400000000000001,52,14,17.98631476050831,0.26666666666666666,0.9333333333333333,5,0.5909090909090909,90.22482893450635,0.01,1,auc,29,0.6299212598425197,gradient_based,0.13333333333333333,0.13333333333333333,0.4666666666666667,0,gpu_hist,20,16,0.998689813298395
binary:logistic,0.1,100,16,64.12512218963832,0.06666666666666667,0.6,5,0.5909090909090909,33.235581622678396,0.0001,1,auc,46,3.0708661417322833,gradient_based,0.26666666666666666,0.8,1.0,0,gpu_hist,4,3,0.5
binary:logistic,0.7,14,10,72.43401759530792,0.8,0.7333333333333333,5,0.5909090909090909,71.74975562072336,0.1,1,auc,20,7.716535433070866,uniform,0.6666666666666666,0.13333333333333333,0.4,0,gpu_hist,20,15,0.5
binary:logistic,0.8200000000000001,70,14,18.7683284457478,0.06666666666666667,0.9333333333333333,5,0.5909090909090909,54.154447702834794,0.001,1,auc,100,8.503937007874017,gradient_based,0.4666666666666667,1.0,0.0,0,gpu_hist,30,26,0.998689813298395
binary:logistic,0.88,100,3,28.641251221896386,0.13333333333333333,1.0,5,0.5909090909090909,30.889540566959923,0.001,1,auc,64,9.763779527559056,gradient_based,0.0,0.6666666666666666,0.7333333333333333,0,gpu_hist,21,18,0.9957418932197838
binary:logistic,0.22,42,10,16.52003910068426,0.3333333333333333,0.8666666666666667,5,0.5909090909090909,33.724340175953074,0.1,1,auc,64,7.480314960629921,uniform,0.0,0.6,0.8666666666666667,0,gpu_hist,21,29,0.9983622666229938
